,content,data,like,place,tags
281,"🫖 ꈍᴗꈍ 🫖높은 고층뷰에서 럭셔리하게 🌙햇살 비치는데 넘넘 예쁘구 고급스럽고 좋았다. #애프터눈티세트 도 만족스러웠다.마지막 영상까지감상하세요 ༼❁ɷ❁༽티세트는 카메라, 인물은 폰카였는데 화질차에 오늘도 감탄 🌟언젠가 좋은 카메라 장만하길 🙏#일상을여행으로 #무보정 #무보정사진 #애프터눈티 #티타임 #롯데이그제큐티브타워#롯데호텔서울 #롯데이그제큐티브타워호텔 #호캉스 #서울호캉스 #서울여행 #뷰맛집 #롯데호텔 #lotteexecutivetower #럭셔리룩 #고급 #디저트맛집 #디저트그램 #카페투어 #호텔뷔페 #호텔추천",2021-05-18,65,Tea Garden,"['#애프터눈티세트', '#일상을여행으로', '#무보정', '#무보정사진', '#애프터눈티', '#티타임', '#롯데이그제큐티브타워', '#롯데호텔서울', '#롯데이그제큐티브타워호텔', '#호캉스', '#서울호캉스', '#서울여행', '#뷰맛집', '#롯데호텔', '#lotteexecutivetower', '#럭셔리룩', '#고급', '#디저트맛집', '#디저트그램', '#카페투어', '#호텔뷔페', '#호텔추천']"
282,"😄🌷😁🌷 <-온 얼굴로 웃는 시카티콘. 쨍한 날씨 덕에 뷰도 좋고, 손에 들린 꽃은 예뻐, 게다가 맛있는 코스까지 바로 눈 앞에 있는데 기쁘지 않을 수 없잖아요 그쵸?!#시그니엘 #시그니엘서울 #signielseoul",2021-05-18,151,SIGNIEL - 시그니엘,"['#시그니엘', '#시그니엘서울', '#signielseoul']"
283,🪞,2021-05-18,38,L'Escape Hotel,[]
284,"스토리 어디냐고 많이들 물어보시는데요, 이곳은 신라호텔 어반아일랜드입니다!일에 찌들어 살던 스스로를 반성하며 짧지만 1박 2일의 휴가를 만끽중이에요 🥰🥰",2021-05-18,177,The Shilla Hotels & Resorts - 신라호텔,[]
285,"🫖 ﻿՞•ᴥ•՞ 🫖#애프터눈티세트롯데 이그제큐티브에서 즐겼던 행복한 순간 😉맛있는 티와 디저트도 짱이지만, 고층의 뷰와 분위기가 좋았던 날 💖",2021-05-18,72,LOTTE Hotel Seoul Executive Tower,['#애프터눈티세트롯데']
286,"🍎맛있는 패키지🍎호텔맛집 #모모카페 #조식뷔페 ➕ #치킨 #룸서비스 ➕ #미니바 오후 2시 레이트 체크아웃까지(◕‿◕✿)맛있는 호캉스를 더욱 여유롭게 즐겨보세요🍝🍭디럭스룸 또는 프리미어룸1박🍭모모카페 조식 뷔페 2인🍭인룸다이닝 치킨 & 맥주 세트ㄴ #삼국치킨  한식/양식/중식 중 택1🍭미니바🍭레이트 체크아웃 오후 2시🍭피트니스 센터 무료🍭무료 인터넷🍭타임스퀘어 몰 제휴 업장 할인 혜택 제공✔️예약기간: 2021년 5월 11일 ~ 8월 31일✔️투숙기간: 2021년 5월 11일 ~ 8월 31일✔️가격(세금 및 봉사료 별도)ㄴ150,000원 부터☎️ 문의 및 예약: 02-2638-3110#모모카페 #조식패키지 #룸서비스패키지 #미니바 #먹캉스 #맛캉스 #호텔패키지 #호텔맛집 #호텔스타그램 #호캉스 #서울호캉스 #영등포맛집 #호텔조식 #호텔데이트 #코트야드메리어트타임스퀘어 #탐코야",2021-05-18,40,,"['#모모카페', '#조식뷔페', '#치킨', '#룸서비스', '#미니바', '#삼국치킨', '#모모카페', '#조식패키지', '#룸서비스패키지', '#미니바', '#먹캉스', '#맛캉스', '#호텔패키지', '#호텔맛집', '#호텔스타그램', '#호캉스', '#서울호캉스', '#영등포맛집', '#호텔조식', '#호텔데이트', '#코트야드메리어트타임스퀘어', '#탐코야']"
287,"🏷#둥이_서울서울에서 내가 제일 좋아하는 호텔🧡집도 많이 안멀어도 기념일이라 남펴니랑 같이 1박😌낮 내내는 흐려서 비가 많이 왔는데 밤되니 예쁜 노을이 가득,#남산뷰 가 뭐 별건 없지만 그래두 져음🧸#룸서비스 로 여기오면 무조건 #갈비반상 🍖진짜 너무너무 맛나는것♡ꈍ◡ꈍ♡ 밥먹고 #노티드케이크 산거 초도불고🎉마무리는 남편이 날 위해 사온 #샤넬시즌백 신상 언박싱으로 마무리👜가방도 사왔는데 #샤넬귀걸이 까지🙈진짜 완벽했던 기념일🧡",2021-05-18,29,"Seoul, Korea","['#둥이_서울서울에서', '#남산뷰', '#룸서비스', '#갈비반상', '#노티드케이크', '#샤넬시즌백', '#샤넬귀걸이']"
288,📌 #신디네옷장 #몬드리안호텔 평일에 갔더니 사람 없고 너무 좋았던 ! 이솝향이 많이 나서 더 좋았어요 ❤️‍🔥,2021-05-18,27,Mondrian Seoul Itaewon,"['#신디네옷장', '#몬드리안호텔']"
289,"마음이 뻥 뚫리는 야경이다, 생각정리하기 아주 좋아",2021-05-18,177,"Seoul, Korea",[]
290,:🧚🏻‍♀️포포인츠 바이 쉐라톤 강남일요일 숙박이었어서 그런지 정말 조용했음강남 한복판 비즈니스호텔이라 룸은 좁았고베딩이 완벽히 내 취향이 아니었음ㅠㅠ베개 더 달라고 할걸#도비숩_호텔,2021-05-18,7,"포포인츠 바이 쉐라톤 서울 강남 / Four Points by Sheraton Seoul, Gangnam",['#도비숩_호텔']
291,행복했던 하루❤️#하객룩 #오늘룩 #오피스룩 #데일리룩코디 @oneulook @eune.official,2021-05-18,345,인터컨티넨털 호텔,"['#하객룩', '#오늘룩', '#오피스룩', '#데일리룩코디']"
292,물만난 지혜고기..다리멍은 못본척 쉿🤫#호캉스 #루프탑수영장 #국내여행 #서울호캉스 #서울호텔 #수영복 #havenue #호캉스추천 #호텔추천 #오오티디 #데일리룩 #패션스타그램 #오늘의코디 #셀피 #셀스타그램 #맞팔 #맞팔환영 #맞팔해요 #좋반 #좋아요 #좋아요환영 #팔로우 #팔로우환영 #팔로미 #fashion #followｍe #following #hotel #likelike #follow,2021-05-18,417,건대 어딘가,"['#호캉스', '#루프탑수영장', '#국내여행', '#서울호캉스', '#서울호텔', '#수영복', '#havenue', '#호캉스추천', '#호텔추천', '#오오티디', '#데일리룩', '#패션스타그램', '#오늘의코디', '#셀피', '#셀스타그램', '#맞팔', '#맞팔환영', '#맞팔해요', '#좋반', '#좋아요', '#좋아요환영', '#팔로우', '#팔로우환영', '#팔로미', '#fashion', '#followｍe', '#following', '#hotel', '#likelike', '#follow']"
293,집사 4년차🧡하루만 주인님 되어보기 끄읕 냥🖤,2020-11-01,129,"Seoul, Korea",[]
294,쩨토끼🧡🖤길냐옹밖에 안나가도 세상 제일 재밌게 놀 수 이쏘,2020-11-01,124,,[]
295,"🏨 반얀트리 클럽 앤 스파 서울✨ 허니문 패키지📅 01.01 - 12.31🛌 객실 1박🍴 그라넘 다이닝 라운지 조식 2인🍴 페스타 바이 민구 디너 코스 2인🧖🏻‍♀️ 반얀트리 스파 트리트먼트 2인🏊🏻‍♂️ 수영장 및 피트니스 무료 입장 💸 1,120,000원 ~ 📷  사진 출처: 반얀트리 서울 홈페이지",2021-05-18,37,Banyan Tree - Club & Spa - Seoul,[]
296,알딸딸,2021-05-18,88,The Timber House,[]
297,✨✨ 게시물 100개 기념 이벤트 ✨ 📝 참여방법1️⃣ @hotel_notifications 팔로우하기2️⃣ 댓글에 친구 소환하기3️⃣ 소환된 친구도 팔로우하면 참여 완료4️⃣ 더 많은 친구가 팔로우한다면 당첨 확률 UP🎁 이벤트 상품 투썸플레이스 커피 2잔 및 아이스박스 (1명)투썸플레이스 떠먹는 아이스박스 (1명)투썸플레이스 아메리카노 (1명)✔️ 이벤트 기간 : 05.17 ~ 05.30✔️ 당첨자 발표 : 05.31 -참여자가 적으면 이벤트가 취소될 수 있습니다,2021-05-17,139,,[]
298,✔️,2021-05-18,100,Side Note Club,[]
299,"⠀작년 보다 빠르게 찾아온 장마.그만큼 여름도 빨리 찾아온다는 뜻이겠죠?😉⠀뜨거운 여름.하루종일 시원한 에어콘과 바스락 침구 속에서 보내는 꿈만같은 휴가💕⠀인생샷 보장해주는 실내 수영장과다양한 입맛을 채워줄 안다즈 조각보 레스토랑까지!⠀멀리 떠나지 말고. 호텔콕! 하세요!얼리 써머 플래시 세일을 이용하면 최대 35% 할인!🤩⠀📍 예약기간: 5/26-30📍 투숙기간: 6/1 – 9/30📍 혜택: 객실 당일 요금 최대 35% 할인(하얏트월드 회원)⠀The rainy season has come earlier than it did last year.That means our summer will also come earlier.😉⠀This sunny, bright summer, enjoy a cozy and comfortable stay in a room filled with fresh air and crisp cotton bedding that will escort you to a heavenly sleep.💕⠀Visit our indoor pool to get the perfect Instagrammable shot and Andaz Jogakbo restaurant to satisfy your appetite!😋⠀You don’t need to go far. Have a HOCANCE!Now you can save up to 35% off with our Early Summer Flash Sale.🤩⠀📍 Booking Period: 5/26-30📍 Stay Period: 6/1 - 9/30📍 Benefits: Up to 35% off the daily room rate (for World of Hyatt members)",2021-05-18,173,Andaz Seoul Gangnam - 안다즈 서울 강남,[]
300,프로필 촬영용 소품들 💓카카오플러스친구 문의로 문의주세요 (•‿•),2021-05-18,11,이수역,[]
301,a full breakfast at MTerrace 💜⠀🌟머큐어 홍대 MTerrace에서 즐기는 조식!🌟(월~금: 단품요리 토~일: 뷔페)⠀⠀#언택트호텔#호캉스#스위트룸#홍대호텔#홍대호캉스#서울호텔#서울호캉스#홍대입구역#사진맛집#노천탕#온천#프라이빗풀#루프탑#루프탑호텔#머큐어앰배서더홍대#호텔이벤트#호텔파티#홈파티#휴식#휴가#데일리#일상#가족호텔#워캉스#어린이날호캉스#어버이날호캉스,2021-05-18,88,Mercure Ambassador Seoul Hongdae - 머큐어 앰배서더 서울 홍대,"['#언택트호텔', '#호캉스', '#스위트룸', '#홍대호텔', '#홍대호캉스', '#서울호텔', '#서울호캉스', '#홍대입구역', '#사진맛집', '#노천탕', '#온천', '#프라이빗풀', '#루프탑', '#루프탑호텔', '#머큐어앰배서더홍대', '#호텔이벤트', '#호텔파티', '#홈파티', '#휴식', '#휴가', '#데일리', '#일상', '#가족호텔', '#워캉스', '#어린이날호캉스', '#어버이날호캉스']"
302,호캉스~😆🏙......#호캉스 #서울호캉스 #티마크그랜드호텔 #베프랑함께👭 #티마크그랜드호텔명동 #남산뷰 #남산뷰호텔 호텔 #힐링여행,2021-05-18,11,,"['#호캉스', '#서울호캉스', '#티마크그랜드호텔', '#베프랑함께👭', '#티마크그랜드호텔명동', '#남산뷰', '#남산뷰호텔', '#힐링여행']"
303,⠀🎐인터컨티넨탈 서울 코엑스에서석가탄신일을 준비하고 잠시 휴식의 시간을 가져보세요.(๑･̑◡･̑๑)🏷 Ｔｅｍｐｌｅ Ｖｉｅｗ Ｒｏｏｍ-#서울도심유일한뷰 #DelightfulExperience#석가탄신일 #휴일 #호캉스 #봉은사,2021-05-18,91,InterContinental Seoul COEX,"['#서울도심유일한뷰', '#DelightfulExperience', '#석가탄신일', '#휴일', '#호캉스', '#봉은사']"
304,@h_m__i22 5랜만에 거울(투)샷 올려보기🙄,2021-05-18,367,,[]
305,아직 끝나지 않은 호캉스 사진,2021-05-18,125,Side Note Club,[]
306,구름가득 테헤란로☁️,2021-05-18,23,Park Hyatt Seoul - 파크하얏트서울,[]
307,#스타즈호텔명동1호점⠀멀리 가기에는 부담스럽고집에만 있기에는 아쉬울 때⠀테라스 더블룸에서서울 도심속 바캉스를 즐겨보세요🤗⠀⠀#예약폭주중잔여 객실이 많지 않습니다빠른 예약을 추천 드립니다 🙏🏻⠀#repost from @mortarea12⠀⠀⠀👉🏻최저가 홈페이지 예약프로필 링크를 통해 손쉽게 예약하세요⠀⠀📍서울시 중구 충무로 9길 20📧 rsvn@modestay.net📞 02-2020-4000(프론트) / 02-2279-2240(예약실)💻 stazhotelmyeongdong1.com,2021-05-18,34,Staz Hotel Myeongdong1&2 / 스타즈 호텔 명동1&2,"['#스타즈호텔명동1호점⠀멀리', '#예약폭주중잔여', '#repost']"
308,"부자가 되려면 부자옆에 서라2021 본사공지 리얼멘토트렌드를 앞서가는 ""New이색부업""월급관리 목돈굴리기 안정적인 가입당일 고수익보장편리성O 안정성O 수익성O 모두갖춘 재테크여러분도 할 수 있어요남녀노소 모두 가능합니다 만19세 이상 연락 주세요!코로나19 확산으로 많은사람들이 경제적 부담을겪고 있으리라 생각 됩니다하루빨리 종식 되었으면 하는 마음이네요바로 진행한다고 하셔서 진행 도와드린 결과로짧은 시간이지만 적지않은 수익 받으실수 있었습니다.믿고 크게 투자해주신 결과로 수익 챙기셨습니다.긴말 안합니다. 확실하게 진행하실 분들",2021-05-18,4,,[]
309,#호캉스 & #혼캉스 딱! 맞는 호텔에서의 기나긴 휴식의 시간🧘‍♀️페어필드 서울 27시간 스테이 패키지 예약하고 길고 편안한 휴식 누리세요~~🌿🤍27시간 스테이 패키지🤍🧘‍♀️ 제공 혜택: 12시 얼리 체크인 + 15시 레이트 체크아웃 🤍27 Hours Stay Package🤍🧘‍♀️ Offer: 27hrs stay from 12pm to 15pm on the next day📞 문의 및 예약: 02.2108.9000🌏 온라인 예약: www.marriott.co.kr/selfi🪄 페어필드 서울 @fairfield_seoul 팔로우 하고 다양한 혜택 가장 먼저 만나보세요#페어필드바이메리어트서울 #서울호캉스 #여행 #힐링,2021-05-18,39,Fairfield by Marriott Seoul,"['#호캉스', '#혼캉스', '#페어필드바이메리어트서울', '#서울호캉스', '#여행', '#힐링']"
310,"⠀𝒇𝒐𝒓 𝑰𝑯𝑮® 𝑹𝒆𝒘𝒂𝒓𝒅𝒔 𝑪𝒍𝒖𝒃🏷가장 완벽하게 새로워진 객실에서 기간 내 2회 숙박에 포인트 2️⃣배, 3회 이상 숙박에 포인트 3️⃣배 추가로 적립받을 수 있는 기회! 지금 캠페인에 등록하고 다가오는 8월 16일까지 투숙하신 후, 추가 포인트를 적립하세요.⠀· 예약 및 투숙 기간: ~ 2021. 8. 16· 혜택⑴ 2번째 숙박 시, 포인트 2배 적립⑵ 3번째 이상 숙박 시, 포인트 3배 적립⠀※ IHG® Rewards Club(@ihgrewards) 회원 가입 및 캠페인 등록 후 해당 혜택이 적용됩니다.※ 동일한 호텔에서 연속 숙박을 위한 체크인/아웃 시 또는 여러 개의 객실을 동시에 이용 시 1회로 간주됩니다.※ 유효 숙박에 한하여 포인트 적립 요건에 충족되며 최대 94박까지 이용 가능합니다.※ 1인 당 최대 100,000 보너스 포인트 획득 가능합니다.※ 보너스 포인트는 투숙 완료 시점에 적립됩니다.⠀ㄴ캠페인 등록은? 👉🏻태그된 제품 클릭!-#UnveilTrueLuxury #IHG리워즈클럽포인트#그랜드인터컨티넨탈서울파르나스",2021-05-18,90,InterContinental Grand Seoul Parnas,"['#UnveilTrueLuxury', '#IHG리워즈클럽포인트', '#그랜드인터컨티넨탈서울파르나스']"
311,⠀⠀⠀⠀⠀⠀⠀둥근 해가 떴습미다☀️#비좀그만와 #plz,2021-05-18,88,The Shilla Hotels & Resorts - 신라호텔,"['#비좀그만와', '#plz']"
312,Good morning ☕️,2021-05-18,65,Four Seasons Hotel Seoul 포시즌스 호텔 서울,[]
313,👉누구나 손쉽게 할수있는 부업!!👉초보자가능👌 하루⌚ 40분만투자⌚💲수익💯% 내기💲💲당일바로결제💲🔻 상세문의는 오픈톡으로 주세요🔻,2021-05-18,1,,[]
314,비오는 파크하얏트🥲♥️스위트라서 널찍하다😊 룸이 많지 않아서 그런지 객실 서비스도 빠르고 좋다☺️따로 투숙객 라운지가 없어서 스위트로 갔음에도 룸이 전부이지만 전망욕조도 좋고 뷰도 좋고 다 좋다✨,2021-05-18,31,Park Hyatt Seoul - 파크하얏트서울,[]
315,🔥,2021-05-18,10,,[]
316,호캉스♡수영도하고 산책도하고힐링♡남편이 이제 물장구칠줄알아요ㅋㅋ조식욕심부리는 남편ㅎ#호캉스💕 #메이필드호텔 #조식뷔페 #수영장호텔 #서울호텔 #서울호캉스 #조식욕심 #부부스타그램 #힐링스타그램,2021-05-17,15,메이필드호텔,"['#호캉스💕', '#메이필드호텔', '#조식뷔페', '#수영장호텔', '#서울호텔', '#서울호캉스', '#조식욕심', '#부부스타그램', '#힐링스타그램']"
317,美,2021-05-17,180,,[]
318,다비 정꾸와 햅삐한 호캉스 ꒰⑅ᵕ༚ᵕ꒱,2021-05-17,52,"RYSE, Autograph Collection",[]
319,"호캉스 💕💕💕 몬드리안💛호텔(구 캐피탈 호텔) 이태원 리노베이션 호텔이맘때쯤 해외 여행을 갔는데, 못가니 연차로, 가족들과 호캉스 너낌으로핫플레이스 몬드리안 호텔💛드뎌 가봄요,카메라 셔터 누르는 모든곳이 포톤존 이에요도심속의 힐링스팟 쵝오의 휴양지 갬성🧡당분간은 몬드리안만 갈듯요 쿄쿄오감만족 10000%%💗💗💗TaKa 스키야키 런치 코스🥰한우 투뿔 채끝 샤브샤브도미, 참치  다랑어, 제주산 녹차빙수정갈하고 맛있게 딱 적당히 잘 먹었습니닷❤낼부터 출근이라는게 언빌리버블💦💦💦....#랜선여행#이태원#서울호캉스#일식#타카#스키야키#제주녹차#한우#투뿔등심#채끝스테이크#참치#몬드리안호텔#서울호텔#도심속의#이태원맛집#힐링스팟#여행에미치다#먹스타그램🍴#맛스타그램😋#인친#소통#좋아요반사❤️#먹팔#선팔하면맞팔#여행스타그램#호텔런치#호캉스#호텔수영장#hotel#서울#",2021-05-17,0,Taka,"['#랜선여행', '#이태원', '#서울호캉스', '#일식', '#타카', '#스키야키', '#제주녹차', '#한우', '#투뿔등심', '#채끝스테이크', '#참치', '#몬드리안호텔', '#서울호텔', '#도심속의', '#이태원맛집', '#힐링스팟', '#여행에미치다', '#먹스타그램🍴', '#맛스타그램😋', '#인친', '#소통', '#좋아요반사❤️', '#먹팔', '#선팔하면맞팔', '#여행스타그램', '#호텔런치', '#호캉스', '#호텔수영장', '#hotel', '#서울']"
320,"호캉스 💕💕💕 몬드리안💛호텔(구 캐피탈 호텔) 이태원 리노베이션 호텔이맘때쯤 해외 여행을 갔는데, 못가니 연차로, 가족들과 호캉스 너낌으로핫플레이스 몬드리안 호텔💛드뎌 가봄요,카메라 셔터 누르는 모든곳이 포토존 이에요도심속의 힐링스팟 쵝오의 휴양지 갬성🧡당분간은 몬드리안만 갈듯요 쿄쿄오감만족 10000%%💗💗💗TaKa 스끼야키 런치 코스🥰한우 투뿔 채끝 샤브샤브도미, 참치  다랑어, 제주산 녹차빙수정갈하고 맛있게 딱 적당히 잘 먹었습니닷❤낼부터 출근이라는게 언빌리버블💦💦💦....#랜선여행#이태원#서울호캉스#일식#타카#스끼야키#제주녹차#한우#투뿔등심#채끝스테이크#참치#몬드리안호텔#서울호텔#도심속의#이태원맛집#힐링스팟#여행에미치다#먹스타그램🍴#맛스타그램😋#인친#소통#좋아요반사❤️#먹팔#선팔하면맞팔#여행스타그램#호텔런치#호캉스#호텔수영장#hotel#서울#",2021-05-17,0,Taka,"['#랜선여행', '#이태원', '#서울호캉스', '#일식', '#타카', '#스끼야키', '#제주녹차', '#한우', '#투뿔등심', '#채끝스테이크', '#참치', '#몬드리안호텔', '#서울호텔', '#도심속의', '#이태원맛집', '#힐링스팟', '#여행에미치다', '#먹스타그램🍴', '#맛스타그램😋', '#인친', '#소통', '#좋아요반사❤️', '#먹팔', '#선팔하면맞팔', '#여행스타그램', '#호텔런치', '#호캉스', '#호텔수영장', '#hotel', '#서울']"
321,"남편과 다녀온 호캉스 🥰비가 많이 오고 날씨가 꾸물꾸물했지만, 폭신한 매트리스에서 꿀잠자고, 수영도 하고, 맛있는 것두 많이 먹고 좋았어요 집에 돌아와 몸무게 보고 충격에 빠졌으나... 하하... 열심히 운동하면 되겠죠~ 하하하하...",2021-05-17,115,Fairmont Ambassador Seoul - 페어몬트 앰배서더 서울,[]
322,맑은 하늘 원해요.. 비 그만 🙀,2021-05-17,159,Grand Hyatt Seoul,[]
323,잠옷입고 꿀잠준비중 ♥️세상행벅하당🥰우리#junseo #happy 하지요?😝,2021-05-17,25,SIGNIEL - 시그니엘,"['#junseo', '#happy']"
324,시시각각 변하던 노을도 예쁘고 우리도 예쁘니까(?ㅋㅋㅋㅋ) 그냥 다올리기🥰💖#bridalshower,2021-05-17,304,Park Hyatt Seoul - 파크하얏트서울,['#bridalshower']
325,Re,2021-05-17,146,Mondrian Seoul Itaewon,[]
326,룸컨디션 호텔 내부 인테리어 등 감각적이라 볼맛나는 곳룸 창문으로 바라본 비내리는 밤은 정말 운치있었다여긴 또올끼야💙,2021-05-17,42,Mondrian Seoul Itaewon,[]
327,#유미네_트립 미리 여름 준비 ! 👏👏,2021-05-14,355,The Shilla Hotels & Resorts - 신라호텔,['#유미네_트립']
328,🌊여름 다가오는 계절💙,2021-05-17,187,Banyan Tree - Club & Spa - Seoul,[]
329,비가 이틀 내내 온건 아쉽지만 곳곳이 다 이쁘다✨,2021-05-17,54,Mondrian Seoul Itaewon,[]
330,"#칸군제이..이번 휴무는 호캉스 저번에 왔던 #노보텔스위트앰배서더서울용산 너무 좋아서 재방문이번에는 리버뷰 말고 남산뷰 했는데더 좋아요 💕..❤️5월 컬러 할인 이벤트중❤️•컬러단독 20% 할인•2품목 이상 30% 할인 (뿌리염색,기장추가도 해당)자세한 사항은 문의주세요 ☺️..• 영업시간 AM 10:00 ~ PM 08:00• 빠른예약 👉 #프로필링크클릭",2021-05-17,0,Novotel Ambassador Seoul Yongsan - 노보텔 앰배서더 서울 용산,"['#칸군제이..이번', '#노보텔스위트앰배서더서울용산', '#프로필링크클릭']"
331,"#광고이번 연휴는 글래드 마포에서 푹 쉬며 보내기. 만족스러운 깔끔한 공간을 합리적인 가격으로 이용할 수 있어 가심비, 가성비 모두 훌륭한 곳이었다. 쏘셜 캔칵테일, 디저뜨와, 피크닉매트 구성의 ‘꽃마실’패키지와도 함께하기. 바람이 많이 부는 날이라 피크닉보다는 호텔에서 호크닉 느낌 내며 예쁘게 세팅해두고 먹으니 더 더 좋았던. 열화상카메라나 소독제 등을 여러 곳에 비치해 두어 코로나 관련해서도 안심할 수 있는 공간이라고 느꼈고, 호텔 입구부터 객실까지 다 청결하게 관리가 잘 되고 있음이 눈에 보여 좋았다. 공덕역 바로 앞에 위치해 있어 접근성도 정말 좋았어서 만족스러웠던. 글래드 다른 지점도 궁금하니 꼭 방문해 봐야지 :)",2021-05-17,361,GLAD Mapo - 글래드 마포,['#광고이번']
